EPBC Number,Stem,Url,Under Review,Scraped
2017/8078,?id=8a80cdf2-2f53-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8a80cdf2-2f53-ec11-80cf-00505684c137,True,2023/03/18
2017/8119,?id=9ed53c40-90b6-ea11-97dc-00505684324c,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9ed53c40-90b6-ea11-97dc-00505684324c,True,2023/03/18
2018/8206,?id=30f790ec-b4b1-ea11-8a09-00505684324c,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=30f790ec-b4b1-ea11-8a09-00505684324c,True,2023/03/18
2018/8318,?id=2bb14b93-9e77-ea11-962c-00505684324c,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2bb14b93-9e77-ea11-962c-00505684324c,True,2023/03/18
2017/7952,?id=67b34571-6e52-ec11-80d2-00505684c563,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=67b34571-6e52-ec11-80d2-00505684c563,True,2023/03/18
2018/8257,?id=11de205d-2082-eb11-80c2-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=11de205d-2082-eb11-80c2-00505684c137,True,2023/03/18
2014/7388,?id=4470e5a9-c27b-eb11-80c2-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4470e5a9-c27b-eb11-80c2-00505684c137,True,2023/03/18
2013/6884,?id=6294f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6294f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2013/6967,?id=d3f6d6fe-5554-ea11-a9f9-005056842ad1,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d3f6d6fe-5554-ea11-a9f9-005056842ad1,True,2023/03/18
2013/6881,?id=efdb2bb5-a7b6-ea11-8731-005056842ad1,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=efdb2bb5-a7b6-ea11-8731-005056842ad1,True,2023/03/18
2010/5736,?id=983eede2-4bfd-ea11-9650-005056842ad1,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=983eede2-4bfd-ea11-9650-005056842ad1,True,2023/03/18
2014/7208,?id=ca54870b-5b8b-eb11-80c3-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ca54870b-5b8b-eb11-80c3-00505684c137,True,2023/03/18
2012/6631,?id=a095f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a095f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2011/5846,?id=1d93f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1d93f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2012/6339,?id=4595f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4595f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2014/7385,?id=624da317-edb4-e911-ad32-00505684324c,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=624da317-edb4-e911-ad32-00505684324c,True,2023/03/18
2013/6885,?id=022d3854-2c53-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=022d3854-2c53-ec11-80cf-00505684c137,True,2023/03/18
2015/7467,?id=c4ed8d59-2553-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c4ed8d59-2553-ec11-80cf-00505684c137,True,2023/03/18
2015/7420,?id=514cb184-6652-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=514cb184-6652-ec11-80cf-00505684c137,True,2023/03/18
2013/7057,?id=c595a95b-7f43-ec11-80d1-00505684c563,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c595a95b-7f43-ec11-80d1-00505684c563,True,2023/03/18
2014/7266,?id=72a90e1d-a7b9-e511-9621-005056ba00a7,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=72a90e1d-a7b9-e511-9621-005056ba00a7,True,2023/03/18
2014/7394,?id=37e2c994-2353-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=37e2c994-2353-ec11-80cf-00505684c137,True,2023/03/18
2013/6734,?id=b595f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b595f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2009/5032,?id=5591f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5591f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2008/4468,?id=bb90f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=bb90f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2009/5033,?id=5b91f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5b91f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2013/6868,?id=5894f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5894f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2012/6524,?id=8395f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8395f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2012/6345,?id=4795f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4795f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2011/6152,?id=0095f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0095f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2011/6181,?id=1695f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1695f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2012/6382,?id=5695f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5695f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2011/5928,?id=4793f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4793f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2011/6066,?id=ee94f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ee94f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2011/6137,?id=f894f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f894f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2012/6590,?id=8d95f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8d95f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2010/5454,?id=3192f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3192f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2009/5017,?id=4a91f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4a91f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2010/5421,?id=2592f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2592f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2009/5252,?id=d191f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d191f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2008/4270,?id=4a8fd91a-e4dd-e611-bdfe-005056ba00a8,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4a8fd91a-e4dd-e611-bdfe-005056ba00a8,True,2023/03/18
2013/6778,?id=4894f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4894f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2009/5176,?id=ac91f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ac91f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2006/2761,?id=8a60fec4-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8a60fec4-6067-e511-b4b8-005056ba00ab,True,2023/03/18
