EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2020/8773,Aldoga Solar Farm Project,Under review,2022-09-26,2080-12-30,Acciona Energy Australia Global Pty Lt,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d3164e72-ed66-ed11-9561-00224818a6aa,2023-03-01
2020/8721,Inland Rail- Beveridge to Albury excluding Glenrowan,Under review,2022-09-25,2040-06-29,Australian Rail Track Corporation Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fd1fb4ae-f366-ed11-9561-00224818a6aa,2023-03-01
2019/8549,Fairhill Coal Project,Under review,2021-05-24,2051-12-30,FUTURA RESOURCES LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7f063644-3453-ec11-80cf-00505684c137,2023-03-01
2018/8260,"Parwan to Melton Pipeline, VIC",Under review,2021-05-03,2040-06-29,WESTERN REGION WATER CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b31e193b-e766-ed11-9561-00224818a727,2023-03-01
2018/8173,"Springdale Solar Farm, Sutton, NSW",Under review,2021-04-12,2060-04-29,RES AUSTRALIA PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b3890ade-7052-ec11-80d2-00505684c563,2023-03-01
2019/8402,"Willowbank Industrial Park Trunk Water Main, Ipswich, Qld",Under review,2021-04-05,2051-03-30,THE MINISTER FOR ECONOMIC DEVELOPMENT QUEENSLAND,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=eef38c78-f527-ec11-80c9-00505684c137,2023-03-01
2017/8007,"Saint Elmo Vanadium Project, 25 km east Julia Creek, QLD",Under review,2021-03-28,2061-03-28,MULTICOM RESOURCES PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=609f0ea8-2a69-ed11-81ac-00224818a758,2023-03-01
2019/8576,Spring Creek to Phillips Creek Diversion,Under review,2021-03-21,2056-03-23,BM Alliance Coal Operations Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=06812706-4422-ec11-80cc-00505684c563,2023-03-01
2018/8163,"Spring Hill Gold Project, 200km SE of Darwin, NT",Under review,2021-03-17,2035-10-29,TM Gold Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b1157081-3153-ec11-80cf-00505684c137,2023-03-01
2019/8583,Eyre Peninsula Transmission Line,Under review,2021-03-10,2059-12-31,ElectraNet,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c209e529-07af-ec11-80d3-00505684c137,2023-03-01
2018/8287,"Maxwell Coal Mine, Hunter Valley, NSW",Under review,2021-03-09,2057-06-29,MAXWELL VENTURES (MANAGEMENT) PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f2a558df-fe66-ed11-9561-00224818a6aa,2023-03-01
2018/8343,"La Trobe University Sports Precinct Stage 3, Bundoora Campus, Vic",Under review,2021-02-24,2035-03-31,LA TROBE UNIVERSITY,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4f42897c-e666-ed11-9561-00224818a727,2023-03-01
